,gvkey,iid,datadate,tic,trt1m,naics,sic,monthly_pct_returns
7218412,184767,90,2010-06-30,BORNY,,312140.0,2085.0,
7218413,184767,90,2010-07-31,BORNY,5.812,312140.0,2085.0,0.058120000000000005
7218414,184767,90,2010-08-31,BORNY,31.1793,312140.0,2085.0,0.311793
7218415,184767,90,2010-09-30,BORNY,42.8571,312140.0,2085.0,0.42857100000000004
7218416,184767,90,2010-10-31,BORNY,26.1207,312140.0,2085.0,0.26120699999999997
7218417,184767,90,2010-11-30,BORNY,-15.2427,312140.0,2085.0,-0.15242699999999998
7218418,184767,90,2010-12-31,BORNY,-16.129,312140.0,2085.0,-0.16129000000000002
7218419,184767,90,2011-01-31,BORNY,33.8462,312140.0,2085.0,0.33846200000000004
7218420,184767,90,2011-02-28,BORNY,-10.7759,312140.0,2085.0,-0.107759
7218421,184767,90,2011-03-31,BORNY,-12.5604,312140.0,2085.0,-0.125604
7218422,184767,90,2011-04-30,BORNY,-14.0884,312140.0,2085.0,-0.140884
7218423,184767,90,2011-05-31,BORNY,-30.3323,312140.0,2085.0,-0.303323
7218424,184767,90,2011-06-30,BORNY,-21.5385,312140.0,2085.0,-0.215385
7218425,184767,90,2011-07-31,BORNY,35.098,312140.0,2085.0,0.35098
7218426,184767,90,2011-08-31,BORNY,-37.3004,312140.0,2085.0,-0.37300400000000006
7218427,184767,90,2011-09-30,BORNY,-24.3056,312140.0,2085.0,-0.243056
7218428,184767,90,2011-10-31,BORNY,33.0275,312140.0,2085.0,0.33027500000000004
7218429,184767,90,2011-11-30,BORNY,-26.8966,312140.0,2085.0,-0.268966
7218430,184767,90,2011-12-31,BORNY,-1.5723,312140.0,2085.0,-0.015723
7218431,184767,90,2012-01-31,BORNY,44.0895,312140.0,2085.0,0.44089500000000004
7218432,184767,90,2012-02-29,BORNY,-24.8337,312140.0,2085.0,-0.248337
7218433,184767,90,2012-03-31,BORNY,-10.9145,312140.0,2085.0,-0.109145
7218434,184767,90,2012-04-30,BORNY,3.9735,312140.0,2085.0,0.039735
7218435,184767,90,2012-05-31,BORNY,-25.7962,312140.0,2085.0,-0.25796199999999997
7218436,184767,90,2012-06-30,BORNY,-9.0129,312140.0,2085.0,-0.090129
7218437,184767,90,2012-07-31,BORNY,-13.2075,312140.0,2085.0,-0.132075
7218438,184767,90,2012-08-31,BORNY,26.087,312140.0,2085.0,0.26087
7218439,184767,90,2012-09-30,BORNY,1.2931,312140.0,2085.0,0.012931
7218440,184767,90,2012-10-31,BORNY,-5.1064,312140.0,2085.0,-0.051064
7218441,184767,90,2012-11-30,BORNY,-23.7668,312140.0,2085.0,-0.237668
7218442,184767,90,2012-12-31,BORNY,-9.4118,312140.0,2085.0,-0.094118
7218443,184767,90,2013-01-31,BORNY,26.6234,312140.0,2085.0,0.266234
7218444,184767,90,2013-02-28,BORNY,-11.7949,312140.0,2085.0,-0.117949
7218445,184767,90,2013-03-31,BORNY,-17.4419,312140.0,2085.0,-0.174419
7218446,184767,90,2013-04-30,BORNY,-21.831,312140.0,2085.0,-0.21831
7218447,184767,90,2013-05-31,BORNY,25.2252,312140.0,2085.0,0.25225200000000003
7218448,184767,90,2013-06-30,BORNY,-15.1079,312140.0,2085.0,-0.15107900000000002
7218449,184767,90,2013-07-31,BORNY,8.4746,312140.0,2085.0,0.084746
7218450,184767,90,2013-08-31,BORNY,0.0,312140.0,2085.0,0.0
7218451,184767,90,2013-09-30,BORNY,0.0,312140.0,2085.0,0.0
7218452,184767,90,2013-10-31,BORNY,44.6875,312140.0,2085.0,0.446875
7218453,184767,90,2013-11-30,BORNY,-2.2678,312140.0,2085.0,-0.022677999999999997
7218454,184767,90,2013-12-31,BORNY,38.1215,312140.0,2085.0,0.38121499999999997
7218455,184767,90,2014-01-31,BORNY,-8.4,312140.0,2085.0,-0.084
7218456,184767,90,2014-02-28,BORNY,18.7729,312140.0,2085.0,0.187729
7218457,184767,90,2014-03-31,BORNY,21.6957,312140.0,2085.0,0.21695699999999998
7218458,184767,90,2014-04-30,BORNY,-21.4502,312140.0,2085.0,-0.214502
7218459,184767,90,2014-05-31,BORNY,2.6923,312140.0,2085.0,0.026923
7218460,184767,90,2014-06-30,BORNY,2.9963,312140.0,2085.0,0.029963000000000004
7218461,184767,90,2014-07-31,BORNY,-2.9091,312140.0,2085.0,-0.029091
7218462,184767,90,2014-08-31,BORNY,-12.7341,312140.0,2085.0,-0.127341
7218463,184767,90,2014-09-30,BORNY,-23.6052,312140.0,2085.0,-0.236052
7218464,184767,90,2014-10-31,BORNY,-1.6854,312140.0,2085.0,-0.016854
7218465,184767,90,2014-11-30,BORNY,-7.4457,312140.0,2085.0,-0.07445700000000001
7218466,184767,90,2014-12-31,BORNY,-20.7755,312140.0,2085.0,-0.20775500000000002
7218467,184767,90,2015-01-31,BORNY,-11.1596,312140.0,2085.0,-0.11159599999999999
7218468,184767,90,2015-02-28,BORNY,10.5263,312140.0,2085.0,0.10526300000000001
7218469,184767,90,2015-03-31,BORNY,-10.3175,312140.0,2085.0,-0.103175
7218470,184767,90,2015-04-30,BORNY,23.8938,312140.0,2085.0,0.23893799999999998
7218471,184767,90,2015-05-31,BORNY,-14.2857,312140.0,2085.0,-0.142857
7218472,184767,90,2015-06-30,BORNY,0.8333,312140.0,2085.0,0.008333
7218473,184767,90,2015-07-31,BORNY,-14.876,312140.0,2085.0,-0.14876
7218474,184767,90,2015-08-31,BORNY,0.0,312140.0,2085.0,0.0
7218475,184767,90,2015-09-30,BORNY,-4.5437,312140.0,2085.0,-0.045437000000000005
7218476,184767,90,2015-10-31,BORNY,20.0163,312140.0,2085.0,0.200163
7218477,184767,90,2015-11-30,BORNY,0.0,312140.0,2085.0,0.0
7218478,184767,90,2015-12-31,BORNY,23.7288,312140.0,2085.0,0.237288
7218479,184767,90,2016-01-31,BORNY,11.6438,312140.0,2085.0,0.116438
7218480,184767,90,2016-02-29,BORNY,3.0675,312140.0,2085.0,0.030674999999999997
7218481,184767,90,2016-03-31,BORNY,-16.6667,312140.0,2085.0,-0.16666699999999998
7218482,184767,90,2016-04-30,BORNY,2.8571,312140.0,2085.0,0.028571
7218483,184767,90,2016-05-31,BORNY,14.5833,312140.0,2085.0,0.145833
7218484,184767,90,2016-06-30,BORNY,-7.8788,312140.0,2085.0,-0.078788
7218485,184767,90,2016-07-31,BORNY,2.6316,312140.0,2085.0,0.026316000000000003
7218486,184767,90,2016-08-31,BORNY,0.641,312140.0,2085.0,0.00641
7218487,184767,90,2016-09-30,BORNY,-6.3694,312140.0,2085.0,-0.063694
7218488,184767,90,2016-10-31,BORNY,-15.6463,312140.0,2085.0,-0.156463
7218489,184767,90,2016-11-30,BORNY,12.0968,312140.0,2085.0,0.120968
7218490,184767,90,2016-12-31,BORNY,-3.5971,312140.0,2085.0,-0.035971
7218491,184767,90,2017-01-31,BORNY,-6.7164,312140.0,2085.0,-0.067164
7218492,184767,90,2017-02-28,BORNY,2.4,312140.0,2085.0,0.024
7218493,184767,90,2017-03-31,BORNY,-8.5938,312140.0,2085.0,-0.085938
7218494,184767,90,2017-04-30,BORNY,0.8632,312140.0,2085.0,0.008631999999999999
7218495,184767,90,2017-05-31,BORNY,15.2445,312140.0,2085.0,0.152445
7218496,184767,90,2017-06-30,BORNY,-0.7353,312140.0,2085.0,-0.007352999999999999
7218497,184767,90,2017-07-31,BORNY,-2.2222,312140.0,2085.0,-0.022222
7218498,184767,90,2017-08-31,BORNY,-9.0833,312140.0,2085.0,-0.090833
7218499,184767,90,2017-09-30,BORNY,2.4915,312140.0,2085.0,0.024915
7218500,184767,90,2017-10-31,BORNY,10.5691,312140.0,2085.0,0.10569100000000001
7218501,184767,90,2017-11-30,BORNY,-7.3529,312140.0,2085.0,-0.073529
7218502,184767,90,2017-12-31,BORNY,-0.3492,312140.0,2085.0,-0.0034920000000000003
7218503,184767,90,2018-01-31,BORNY,19.4648,312140.0,2085.0,0.19464800000000002
7218504,184767,90,2018-02-28,BORNY,-2.6667,312140.0,2085.0,-0.026667
7218505,184767,90,2018-03-31,BORNY,-8.2192,312140.0,2085.0,-0.082192
7218506,184767,90,2018-04-30,BORNY,-5.9701,312140.0,2085.0,-0.059701000000000004
7218507,184767,90,2018-05-31,BORNY,7.9365,312140.0,2085.0,0.07936499999999999
7218508,184767,90,2018-06-30,BORNY,-10.2941,312140.0,2085.0,-0.102941
7218509,184767,90,2018-07-31,BORNY,-5.3852,312140.0,2085.0,-0.053852000000000004
7218510,184767,90,2018-08-31,BORNY,-4.4529,312140.0,2085.0,-0.044529
7218511,184767,90,2018-09-30,BORNY,12.4309,312140.0,2085.0,0.12430899999999999
7218512,184767,90,2018-10-31,BORNY,-13.7097,312140.0,2085.0,-0.137097
7218513,184767,90,2018-11-30,BORNY,-14.0561,312140.0,2085.0,-0.14056100000000002
7218514,184767,90,2018-12-31,BORNY,-30.7851,312140.0,2085.0,-0.307851
7218515,184767,90,2019-01-31,BORNY,36.9364,312140.0,2085.0,0.36936399999999997
7218516,184767,90,2019-02-28,BORNY,3.0866,312140.0,2085.0,0.030865999999999998
7218517,184767,90,2019-03-31,BORNY,-0.9464,312140.0,2085.0,-0.009464
7218518,184767,90,2019-04-30,BORNY,-7.8539,312140.0,2085.0,-0.078539
7218519,184767,90,2019-05-31,BORNY,-16.8394,312140.0,2085.0,-0.16839400000000002
7218520,184767,90,2019-06-30,BORNY,-79.4721,312140.0,2085.0,-0.794721
7218521,184767,90,2019-07-31,BORNY,7.8571,312140.0,2085.0,0.078571
7218522,184767,90,2019-08-31,BORNY,14.2285,312140.0,2085.0,0.142285
7218523,184767,90,2019-09-30,BORNY,-7.2383,312140.0,2085.0,-0.072383
7218524,184767,90,2019-10-31,BORNY,0.0,312140.0,2085.0,0.0
7218525,184767,90,2019-11-30,BORNY,-3.125,312140.0,2085.0,-0.03125
7218526,184767,90,2019-12-31,BORNY,-3.2258,312140.0,2085.0,-0.032258
7218527,184767,90,2020-01-31,BORNY,-13.3333,312140.0,2085.0,-0.133333
7218528,184767,90,2020-02-29,BORNY,0.0,312140.0,2085.0,0.0
7218529,184767,90,2020-03-31,BORNY,-3.8462,312140.0,2085.0,-0.038462
7218530,184767,90,2020-04-30,BORNY,35.52,312140.0,2085.0,0.3552
7218531,184767,90,2020-05-31,BORNY,-23.2586,312140.0,2085.0,-0.23258600000000001
7218532,184767,90,2020-06-30,BORNY,4.2308,312140.0,2085.0,0.042308000000000005
7218533,184767,90,2020-07-31,BORNY,-15.1292,312140.0,2085.0,-0.151292
7218534,184767,90,2020-08-31,BORNY,37.1304,312140.0,2085.0,0.371304
7218535,184767,90,2020-09-30,BORNY,-36.5885,312140.0,2085.0,-0.365885
7218536,184767,90,2020-10-31,BORNY,39.9,312140.0,2085.0,0.39899999999999997
7218537,184767,90,2020-11-30,BORNY,0.7863,312140.0,2085.0,0.007863
7218538,184767,90,2020-12-31,BORNY,-50.3546,312140.0,2085.0,-0.5035459999999999
7218539,184767,90,2021-01-31,BORNY,71.4286,312140.0,2085.0,0.714286
7218540,184767,90,2021-02-28,BORNY,4.1667,312140.0,2085.0,0.041666999999999996
7218541,184767,90,2021-03-31,BORNY,-12.0,312140.0,2085.0,-0.12
7218542,184767,90,2021-04-30,BORNY,0.9091,312140.0,2085.0,0.009091
7218543,184767,90,2021-05-31,BORNY,-0.9009,312140.0,2085.0,-0.009009
7218544,184767,90,2021-06-30,BORNY,-34.5455,312140.0,2085.0,-0.34545499999999996
7218545,184767,90,2021-07-31,BORNY,47.2917,312140.0,2085.0,0.472917
7218546,184767,90,2021-08-31,BORNY,-24.5639,312140.0,2085.0,-0.245639
7218547,184767,90,2021-09-30,BORNY,-83.75,312140.0,2085.0,-0.8375
7218548,184767,90,2021-10-31,BORNY,0.0,312140.0,2085.0,0.0
7218549,184767,90,2021-11-30,BORNY,-99.2308,312140.0,2085.0,-0.992308
7218550,184767,90,2021-12-31,BORNY,-99.0,312140.0,2085.0,-0.99
7218551,184767,90,2022-01-31,BORNY,158000000.0,312140.0,2085.0,1580000.0
7218552,184767,90,2022-03-31,BORNY,-99.3671,312140.0,2085.0,-0.993671
7218553,184767,90,2022-04-30,BORNY,-99.0,312140.0,2085.0,-0.99
7218554,184767,90,2022-05-31,BORNY,-99.0,312140.0,2085.0,-0.99
7218555,184767,90,2022-06-30,BORNY,1299900.0,312140.0,2085.0,12999.0
7218556,184767,90,2022-07-31,BORNY,-61.5385,312140.0,2085.0,-0.615385
