datadate,3PLFF,BGMTQ,BKCT,BRCC,CHF.,CTEA,FARM,FHAI,GMCR,HCEI,HRSR,ICGL.1,JAMN,KDP,MOKA,NUZE,PEET,PLAG,RVACU,SBEAU,SWP.,SWSSF,UOLI,WEST,WFGCF
1965-12-31,,,,,-0.002174,,,,,,,,,,,,,,,,,,,,
1966-01-31,,,,,0.021978,,,,,,,,,,,,,,,,,,,,
1966-02-28,,,,,-0.021505,,,,,,,,,,,,,,,,,,,,
1966-03-31,,,,,-0.057143,,,,,,,,,,,,,,,,,,,,
1966-04-30,,,,,0.023530000000000002,,,,,,,,,,,,,,,,,,,,
1966-05-31,,,,,-0.057470999999999994,,,,,,,,,,,,,,,,,,,,
1966-06-30,,,,,0.082927,,,,,,,,,,,,,,,,,,,,
1966-07-31,,,,,-0.113637,,,,,,,,,,,,,,,,,,,,
1966-08-31,,,,,-0.102563,,,,,,,,,,,,,,,,,,,,
1966-09-30,,,,,-0.060001,,,,,,,,,,,,,,,,,,,,
1966-10-31,,,,,0.0,,,,,,,,,,,,,,,,,,,,
1966-11-30,,,,,0.015385,,,,,,,,,,,,,,,,,,,,
1966-12-31,,,,,0.045454,,,,,,,,,,,,,,,,,,,,
1967-01-31,,,,,0.352943,,,,,,,,,,,,,,,,,,,,
1967-02-28,,,,,-0.01087,,,,,,,,,,,,,,,,,,,,
1967-03-31,,,,,0.24175899999999997,,,,,,,,,,,,,,,,,,,,
1967-04-30,,,,,0.035398,,,,,,,,,,,,,,,,,,,,
1967-05-31,,,,,-0.060345,,,,,,,,,,,,,,,,,,,,
1967-06-30,,,,,0.293572,,,,,,,,,,,,,,,,,,,,
1967-07-31,,,,,-0.007092,,,,,,,,,,,,,,,,,,,,
1967-08-31,,,,,-0.043162000000000006,,,,,,,,,,,,,,,,,,,,
1967-09-30,,,,,0.022553,,,,,,,,,,,,,,,,,,,,
1967-10-31,,,,,0.30294,,,,,,,,,,,,,,,,,,,,
1967-11-30,,,,,-0.005684,,,,,,,,,,,,,,,,,,,,
1967-12-31,,,,,0.011430000000000001,,,,,,,,,,,,,,,,,,,,
1968-01-31,,,,,-0.128807,,,,,,,,,,,,,,,,,,,,
1968-02-29,,,,,-0.150327,,0.0,,,,,,,,,,,,,,,,,,
1968-03-31,,,,,0.069231,,-0.034483,,,,,,,,,,,,,,,,,,
1968-04-30,,,,,0.21726600000000001,,0.067857,,,,,,,,,,,,,,,,,,
1968-05-31,,,,,0.035715,,0.237288,,,,,,,,,,,,,,,,,,
1968-06-30,,,,,0.05747,,0.013699,,,,,,,,,,,,,,,,,,
1968-07-31,,,,,-0.15652100000000002,,0.064865,,,,,,,,,,,,,,,,,,
1968-08-31,,,,,-0.012987,,0.333333,,,,,,,,,,,,,,,,,,
1968-09-30,,,,,-0.019737,,-0.163462,,,,,,,,,,,,,,,,,,
1968-10-31,,,,,-0.052349,,0.250575,,,,,,,,,,,,,,,,,,
1968-11-30,,,,,0.08571400000000001,,-0.018519,,,,,,,,,,,,,,,,,,
1968-12-31,,,,,0.026316000000000003,,-0.09434,,,,,,,,,,,,,,,,,,
1969-01-31,,,,,0.058974,,-0.0125,,,,,,,,,,,,,,,,,,
1969-02-28,,,,,-0.146342,,0.0,,,,,,,,,,,,,,,,,,
1969-03-31,,,,,-0.028571,,-0.085106,,,,,,,,,,,,,,,,,,
1969-04-30,,,,,-0.072059,,-0.08372099999999999,,,,,,,,,,,,,,,,,,
1969-05-31,,,,,0.008,,0.153846,,,,,,,,,,,,,,,,,,
1969-06-30,,,,,-0.142857,,-0.155556,,,,,,,,,,,,,,,,,,
1969-07-31,,,,,-0.1,,-0.147368,,,,,,,,,,,,,,,,,,
1969-08-31,,,,,0.0,,0.03125,,,,,,,,,,,,,,,,,,
1969-09-30,,,,,-0.072917,,0.060606,,,,,,,,,,,,,,,,,,
1969-10-31,,,,,0.10337,,-0.017143,,,,,,,,,,,,,,,,,,
1969-11-30,,,,,-0.082474,,0.088235,,,,,,,,,,,,,,,,,,
1969-12-31,,,,,-0.123596,,-0.12162200000000001,,,,,,,,,,,,,,,,,,
1970-01-31,,,,,0.041026,,-0.064615,,,,,,,,,,,,,,,,,,
1970-02-28,,,,,0.025,,-0.033333,,,,,,,,,,,,,,,,,,
1970-03-31,,,,,-0.048780000000000004,,0.17241399999999998,,,,,,,,,,,,,,,,,,
1970-04-30,,,,,-0.123847,,-0.135294,,,,,,,,,,,,,,,,,,
1970-05-31,,,,,-0.029851000000000003,,-0.068966,,,,,,,,,,,,,,,,,,
1970-06-30,,,,,-0.246154,,0.0,,,,,,,,,,,,,,,,,,
1970-07-31,,,,,0.142855,,0.07037,,,,,,,,,,,,,,,,,,
1970-08-31,,,,,-0.017858,,-0.035088,,,,,,,,,,,,,,,,,,
1970-09-30,,,,,0.163637,,0.0,,,,,,,,,,,,,,,,,,
1970-10-31,,,,,-0.06312999999999999,,-0.003637,,,,,,,,,,,,,,,,,,
1970-11-30,,,,,0.224139,,0.055556,,,,,,,,,,,,,,,,,,
1970-12-31,,,,,-0.098592,,-0.017544,,,,,,,,,,,,,,,,,,
1971-01-31,,,,,0.250001,,0.05,,,,,,,,,,,,,,,,,,
1971-02-28,,,,,-0.0625,,-0.017242,,,,,,,,,,,,,,,,,,
1971-03-31,,,,,0.2,,0.017544,,,,,,,,,,,,,,,,,,
1971-04-30,,,,,-0.016448,,0.220689,,,,,,,,,,,,,,,,,,
1971-05-31,,,,,-0.05814,,0.08571400000000001,,,,,,,,,,,,,,,,,,
1971-06-30,,,,,0.160494,,-0.078947,,,,,,,,,,,,,,,,,,
1971-07-31,,,,,-0.031915,,0.125714,,,,,,,,,,,,,,,,,,
1971-08-31,,,,,0.043956,,0.10256399999999999,,,,,,,,,,,,,,,,,,
1971-09-30,,,,,-0.031579,,-0.05814,,,,,,,,,,,,,,,,,,
1971-10-31,,,,,0.006518,,0.009877,,,,,,,,,,,,,,,,,,
1971-11-30,,,,,-0.12222300000000001,,0.197531,,,,,,,,,,,,,,,,,,
1971-12-31,,,,,0.050633,,-0.030928,,,,,,,,,,,,,,,,,,
1972-01-31,,,,,0.084337,,0.178724,,,,,,,,,,,,,,,,,,
1972-02-29,,,,,-0.077778,,0.036364,,,,,,,,,,,,,,,,,,
1972-03-31,,,,,-0.084337,,-0.078947,,,,,,,,,,,,,,,,,,
1972-04-30,,,,,-0.050004999999999994,,-0.068571,,,,,,,,,,,,,,,,,,
1972-05-31,,,,,0.0,,0.195876,,,,,,,,,,,,,,,,,,
1972-06-30,,,,,-0.1,,0.017241,,,,,,,,,,,,,,,,,,
1972-07-31,,,,,-0.031745999999999996,,-0.077966,,,,,,,,,,,,,,,,,,
1972-08-31,,,,,0.0,,0.240741,,,,,,,,,,,,,,,,,,
1972-09-30,,,,,-0.032787000000000004,,0.126866,,,,,,,,,,,,,,,,,,
1972-10-31,,,,,-0.052887,,0.17086099999999999,,,,,,,,,,,,,,,,,,
1972-11-30,,,,,0.092592,,0.011364,,,,,,,,,,,,,,,,,,
1972-12-31,,,,,-0.135593,,0.151685,,,,,,,,,,,,,,,,,,
1973-01-31,,,,,0.019608,,-0.205853,,,,,,,,,,,,,,,,,,
1973-02-28,,,,,-0.076923,,-0.160494,,,,,,,,,,,,,,,,,,
1973-03-31,,,,,-0.041666999999999996,,-0.073529,,,,,,,,,,,,,,,,,,
1973-04-30,,,,,-0.051311999999999997,,-0.2,,,,,,,,,,,,,,,,,,
1973-05-31,,,,,-0.047618999999999995,,-0.02,,,,,,,,,,,,,,,,,,
1973-06-30,,,,,0.1,,-0.061224,,,,,,,,,,,,,,,,,,
1973-07-31,,,,,0.0,,-0.034783,,,,,,,,,,,,,,,,,,
1973-08-31,,,,,-0.045454999999999995,,0.045454999999999995,,,,,,,,,,,,,,,,,,
1973-09-30,,,,,0.071429,,-0.130435,,,,,,,,,,,,,,,,,,
1973-10-31,,,,,-0.088889,,0.16,,,,,,,,,,,,,,,,,,
1973-11-30,,,,,-0.150001,,-0.173913,,,,,,,,,,,,,,,,,,
1973-12-31,,,,,-0.088235,,-0.18420999999999998,,,,,,,,,,,,,,,,,,
1974-01-31,,,,,0.16129000000000002,,0.27096800000000004,,,,,,,,,,,,,,,,,,
1974-02-28,,,,,0.055556,,-0.051281999999999994,,,,,,,,,,,,,,,,,,
1974-03-31,,,,,0.078948,,0.189189,,,,,,,,,,,,,,,,,,
1974-04-30,,,,,0.0,,-0.19545500000000002,,,,,,,,,,,,,,,,,,
1974-05-31,,,,,-0.22122,,-0.08571400000000001,,,,,,,,,,,,,,,,,,
1974-06-30,,,,,-0.06451699999999999,,-0.0625,,,,,,,,,,,,,,,,,,
1974-07-31,,,,,-0.17241499999999998,,0.013333,,,,,,,,,,,,,,,,,,
1974-08-31,,,,,-0.041666,,-0.1,,,,,,,,,,,,,,,,,,
1974-09-30,,,,,-0.173913,,-0.148148,,,,,,,,,,,,,,,,,,
1974-10-31,,,,,0.301052,,0.45217399999999996,,,,,,,,,,,,,,,,,,
1974-11-30,,,,,-0.124999,,-0.030303,,,,,,,,,,,,,,,,,,
1974-12-31,,,,,-0.14285899999999999,,-0.109375,,,,,,,,,,,,,,,,,,
1975-01-31,,,,,0.38889,,1.014035,,,,,,,,,,,,,,,,,,
1975-02-28,,,,,-0.04,,-0.061403,,,,,,,,,,,,,,,,,,
1975-03-31,,,,,0.250002,,0.046729,,,,,,,,,,,,,,,,,,
1975-04-30,,,,,-0.073001,,-0.028571,,,,,,,,,,,,,,,,,,
1975-05-31,,,,,0.0,,0.231481,,,,,,,,,,,,,,,,,,
1975-06-30,,,,,0.296297,,0.097744,,,,,,,,,,,,,,,,,,
1975-07-31,,,,,-0.114285,,-0.056164,,,,,,,,,,,,,,,,,,
1975-08-31,,,,,0.0,,-0.109489,,,,,,,,,,,,,,,,,,
1975-09-30,,,,,-0.19355,,0.13114800000000001,,,,,,,,,,,,,,,,,,
1975-10-31,,,,,0.240002,,-0.023188,,,,,,,,,,,,,,,,,,
1975-11-30,,,,,-0.036452,,0.126866,,,,,,,,,,,,,,,,,,
1975-12-31,,,,,-0.275862,,-0.16556300000000002,,,,,,,,,,,,,,,,,,
1976-01-31,,,,,0.238094,,0.268254,,,,,,,,,,,,,,,,,,
1976-02-29,,,,,0.11538500000000002,,0.025157,,,,,,,,,,,,,,,,,,
1976-03-31,,,,,-0.076552,,-0.110429,,,,,,,,,,,,,,,,,,
1976-04-30,,,,,-0.076923,,0.23931000000000002,,,,,,,,,,,,,,,,,,
1976-05-31,,,,,-0.08333299999999999,,-0.260504,,,,,,,,,,,,,,,,,,
1976-06-30,,,,,-0.045454,,-0.045454999999999995,,,,,,,,,,,,,,,,,,
1976-07-31,,,,,0.142856,,-0.10952400000000001,,,,,,,,,,,,,,,,,,
1976-08-31,,,,,-0.124999,,0.027027000000000002,,,,,,,,,,,,,,,,,,
1976-09-30,,,,,-0.047618999999999995,,-0.026316000000000003,,,,,,,,,,,,,,,,,,
1976-10-31,,,,,-0.10000099999999999,,-0.02973,,,,,,,,,,,,,,,,,,
1976-11-30,,,,,-0.055555,,0.0,,,,,,,,,,,,,,,,,,
1976-12-31,,,,,0.529413,,0.028169,,,,,,,,,,,,,,,,,,
1977-01-31,,,,,0.038462,,-0.0027400000000000002,,,,,,,,,,,,,,,,,,
1977-02-28,,,,,-0.074075,,-0.069444,,,,,,,,,,,,,,,,,,
1977-03-31,,,,,0.240002,,-0.044775999999999996,,,,,,,,,,,,,,,,,,
1977-04-30,,,,,-0.129033,,-0.003125,,,,,,,,,,,,,,,,,,
1977-05-31,,,,,0.0,,0.07936499999999999,,,,,,,,,,,,,,,,,,
1977-06-30,,,,,0.481483,,0.102941,,,,,,,,,,,,,,,,,,
1977-07-31,,,,,0.2,,-0.002667,,,,,,,,,,,,,,,,,,
1977-08-31,,,,,-0.333333,,-0.067568,,,,,,,,,,,,,,,,,,
1977-09-30,,,,,0.09375,,0.101449,,,,,,,,,,,,,,,,,,
1977-10-31,,,,,0.085715,,0.286842,,,,,,,,,,,,,,,,,,
1977-11-30,,,,,0.026316000000000003,,0.082474,,,,,,,,,,,,,,,,,,
1977-12-31,,,,,0.051281999999999994,,-0.08571400000000001,,,,,,,,,,,,,,,,,,
1978-01-31,,,,,0.024390000000000002,,0.05,,,,,,,,,,,,,,,,,,
1978-02-28,,,,,-0.023809,,-0.01,,,,,,,,,,,,,,,,,,
1978-03-31,,,,,0.146341,,0.292929,,,,,,,,,,,,,,,,,,
1978-04-30,,,,,0.234043,,0.107812,,,,,,,,,,,,,,,,,,
1978-05-31,,,,,-0.051724,,0.042553,,,,,,,,,,,,,,,,,,
1978-06-30,,,,,0.036364,,0.068027,,,,,,,,,,,,,,,,,,
1978-07-31,,,,,-0.10526300000000001,,0.036943000000000004,,,,,,,,,,,,,,,,,,
1978-08-31,,,,,0.058823999999999994,,-0.012346,,,,,,,,,,,,,,,,,,
1978-09-30,,,,,0.018518,,0.0125,,,,,,,,,,,,,,,,,,
1978-10-31,,,,,-0.43636400000000003,,-0.180247,,,,,,,,,,,,,,,,,,
1978-11-30,,,,,0.193548,,0.136364,,,,,,,,,,,,,,,,,,
1978-12-31,,,,,-0.054054000000000005,,0.013333,,,,,,,,,,,,,,,,,,
1979-01-31,,,,,0.142858,,0.060525999999999996,,,,,,,,,,,,,,,,,,
1979-02-28,,,,,-0.125001,,0.0375,,,,,,,,,,,,,,,,,,
1979-03-31,,,,,-0.08571400000000001,,-0.060240999999999996,,,,,,,,,,,,,,,,,,
1979-04-30,,,,,-0.03125,,-0.05641,,,,,,,,,,,,,,,,,,
1979-05-31,,,,,0.16129000000000002,,-0.054794999999999996,,,,,,,,,,,,,,,,,,
1979-06-30,,,,,-0.111111,,0.014493,,,,,,,,,,,,,,,,,,
1979-07-31,,,,,-0.0625,,-0.02,,,,,,,,,,,,,,,,,,
1979-08-31,,,,,0.3,,0.0,,,,,,,,,,,,,,,,,,
1979-09-30,,,,,-0.10256399999999999,,0.0,,,,,,,,,,,,,,,,,,
1979-10-31,,,,,-0.17142800000000002,,-0.079412,,,,,,,,,,,,,,,,,,
1979-11-30,,,,,0.137931,,0.112903,,,,,,,,,,,,,,,,,,
1979-12-31,,,,,0.08484799999999999,,0.0,,,,,,,,,,,,,,,,,,
1980-01-31,,,,,-0.028572,,0.168116,,,,,,,,,,,,,,,,,,
1980-02-29,,,,,-0.117647,,-0.1,,,,,,,,,,,,,,,,,,
